country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Angola,AGO,Africa,32866268,cases,2,2020-12,0.000000,2
Angola,AGO,Africa,32866268,cases,5,2020-13,0.021000,7
Angola,AGO,Africa,32866268,cases,7,2020-14,0.037000,14
Angola,AGO,Africa,32866268,cases,5,2020-15,0.037000,19
Angola,AGO,Africa,32866268,cases,5,2020-16,0.030000,24
Angola,AGO,Africa,32866268,cases,2,2020-17,0.021000,26
Angola,AGO,Africa,32866268,cases,9,2020-18,0.033000,35
Angola,AGO,Africa,32866268,cases,10,2020-19,0.058000,45
Angola,AGO,Africa,32866268,cases,3,2020-20,0.040000,48
Angola,AGO,Africa,32866268,cases,21,2020-21,0.073000,69
Angola,AGO,Africa,32866268,cases,17,2020-22,0.116000,86
Angola,AGO,Africa,32866268,cases,5,2020-23,0.067000,91
Angola,AGO,Africa,32866268,cases,49,2020-24,0.164000,140
Angola,AGO,Africa,32866268,cases,36,2020-25,0.259000,176
Angola,AGO,Africa,32866268,cases,91,2020-26,0.386000,267
Angola,AGO,Africa,32866268,cases,79,2020-27,0.517000,346
Angola,AGO,Africa,32866268,cases,160,2020-28,0.727000,506
Angola,AGO,Africa,32866268,cases,199,2020-29,1.092000,705
Angola,AGO,Africa,32866268,cases,225,2020-30,1.290000,930
Angola,AGO,Africa,32866268,cases,218,2020-31,1.348000,1148
Angola,AGO,Africa,32866268,cases,424,2020-32,1.953000,1572
Angola,AGO,Africa,32866268,cases,307,2020-33,2.224000,1879
Angola,AGO,Africa,32866268,cases,292,2020-34,1.823000,2171
Angola,AGO,Africa,32866268,cases,453,2020-35,2.267000,2624
Angola,AGO,Africa,32866268,cases,311,2020-36,2.325000,2935
Angola,AGO,Africa,32866268,cases,400,2020-37,2.163000,3335
Angola,AGO,Africa,32866268,cases,656,2020-38,3.213000,3991
Angola,AGO,Africa,32866268,cases,681,2020-39,4.068000,4672
Angola,AGO,Africa,32866268,cases,698,2020-40,4.196000,5370
Angola,AGO,Africa,32866268,cases,876,2020-41,4.789000,6246
Angola,AGO,Africa,32866268,cases,1216,2020-42,6.365000,7462
Angola,AGO,Africa,32866268,cases,1564,2020-43,8.459000,9026
Angola,AGO,Africa,32866268,cases,1779,2020-44,10.172000,10805
Angola,AGO,Africa,32866268,cases,1530,2020-45,10.068000,12335
Angola,AGO,Africa,32866268,cases,1039,2020-46,7.817000,13374
Angola,AGO,Africa,32866268,cases,1119,2020-47,6.566000,14493
Angola,AGO,Africa,32866268,cases,610,2020-48,5.261000,15103
Angola,AGO,Africa,32866268,cases,433,2020-49,3.173000,15536
Angola,AGO,Africa,32866268,cases,652,2020-50,3.301000,16188
Angola,AGO,Africa,32866268,cases,456,2020-51,3.371000,16644
Angola,AGO,Africa,32866268,cases,652,2020-52,3.371000,17296
Angola,AGO,Africa,32866268,cases,346,2020-53,3.037000,17642
Angola,AGO,Africa,32866268,cases,551,2021-01,2.729000,18193
Angola,AGO,Africa,32866268,cases,682,2021-02,3.752000,18875
Angola,AGO,Africa,32866268,cases,524,2021-03,3.669000,19399
Angola,AGO,Africa,32866268,cases,397,2021-04,2.802000,19796
Angola,AGO,Africa,32866268,cases,290,2021-05,2.090000,20086
Angola,AGO,Africa,32866268,cases,280,2021-06,1.734000,20366
Angola,AGO,Africa,32866268,cases,153,2021-07,1.317000,20519
Angola,AGO,Africa,32866268,cases,288,2021-08,1.342000,20807
Angola,AGO,Africa,32866268,cases,279,2021-09,1.725000,21086
Angola,AGO,Africa,32866268,cases,294,2021-10,1.743000,21380
Angola,AGO,Africa,32866268,cases,353,2021-11,1.969000,21733
Angola,AGO,Africa,32866268,cases,330,2021-12,2.078000,22063
Angola,AGO,Africa,32866268,cases,568,2021-13,2.732000,22631
Angola,AGO,Africa,32866268,cases,700,2021-14,3.858000,23331
Angola,AGO,Africa,32866268,cases,1058,2021-15,5.349000,24389
Angola,AGO,Africa,32866268,deaths,0,2020-12,0.000000,0
Angola,AGO,Africa,32866268,deaths,2,2020-13,0.061000,2
Angola,AGO,Africa,32866268,deaths,0,2020-14,0.061000,2
Angola,AGO,Africa,32866268,deaths,0,2020-15,0.000000,2
Angola,AGO,Africa,32866268,deaths,0,2020-16,0.000000,2
Angola,AGO,Africa,32866268,deaths,0,2020-17,0.000000,2
Angola,AGO,Africa,32866268,deaths,0,2020-18,0.000000,2
Angola,AGO,Africa,32866268,deaths,0,2020-19,0.000000,2
Angola,AGO,Africa,32866268,deaths,0,2020-20,0.000000,2
Angola,AGO,Africa,32866268,deaths,2,2020-21,0.061000,4
Angola,AGO,Africa,32866268,deaths,0,2020-22,0.061000,4
Angola,AGO,Africa,32866268,deaths,0,2020-23,0.000000,4
Angola,AGO,Africa,32866268,deaths,2,2020-24,0.061000,6
Angola,AGO,Africa,32866268,deaths,3,2020-25,0.152000,9
Angola,AGO,Africa,32866268,deaths,2,2020-26,0.152000,11
Angola,AGO,Africa,32866268,deaths,8,2020-27,0.304000,19
Angola,AGO,Africa,32866268,deaths,7,2020-28,0.456000,26
Angola,AGO,Africa,32866268,deaths,3,2020-29,0.304000,29
Angola,AGO,Africa,32866268,deaths,11,2020-30,0.426000,40
Angola,AGO,Africa,32866268,deaths,12,2020-31,0.700000,52
Angola,AGO,Africa,32866268,deaths,18,2020-32,0.913000,70
Angola,AGO,Africa,32866268,deaths,16,2020-33,1.034000,86
Angola,AGO,Africa,32866268,deaths,10,2020-34,0.791000,96
Angola,AGO,Africa,32866268,deaths,11,2020-35,0.639000,107
Angola,AGO,Africa,32866268,deaths,10,2020-36,0.639000,117
Angola,AGO,Africa,32866268,deaths,15,2020-37,0.761000,132
Angola,AGO,Africa,32866268,deaths,20,2020-38,1.065000,152
Angola,AGO,Africa,32866268,deaths,19,2020-39,1.187000,171
Angola,AGO,Africa,32866268,deaths,22,2020-40,1.247000,193
Angola,AGO,Africa,32866268,deaths,25,2020-41,1.430000,218
Angola,AGO,Africa,32866268,deaths,23,2020-42,1.460000,241
Angola,AGO,Africa,32866268,deaths,26,2020-43,1.491000,267
Angola,AGO,Africa,32866268,deaths,17,2020-44,1.308000,284
Angola,AGO,Africa,32866268,deaths,19,2020-45,1.095000,303
Angola,AGO,Africa,32866268,deaths,19,2020-46,1.156000,322
Angola,AGO,Africa,32866268,deaths,15,2020-47,1.034000,337
Angola,AGO,Africa,32866268,deaths,9,2020-48,0.730000,346
Angola,AGO,Africa,32866268,deaths,8,2020-49,0.517000,354
Angola,AGO,Africa,32866268,deaths,17,2020-50,0.761000,371
Angola,AGO,Africa,32866268,deaths,16,2020-51,1.004000,387
Angola,AGO,Africa,32866268,deaths,16,2020-52,0.974000,403
Angola,AGO,Africa,32866268,deaths,5,2020-53,0.639000,408
Angola,AGO,Africa,32866268,deaths,8,2021-01,0.396000,416
Angola,AGO,Africa,32866268,deaths,20,2021-02,0.852000,436
Angola,AGO,Africa,32866268,deaths,23,2021-03,1.308000,459
Angola,AGO,Africa,32866268,deaths,7,2021-04,0.913000,466
Angola,AGO,Africa,32866268,deaths,9,2021-05,0.487000,475
Angola,AGO,Africa,32866268,deaths,17,2021-06,0.791000,492
Angola,AGO,Africa,32866268,deaths,7,2021-07,0.730000,499
Angola,AGO,Africa,32866268,deaths,9,2021-08,0.487000,508
Angola,AGO,Africa,32866268,deaths,6,2021-09,0.456000,514
Angola,AGO,Africa,32866268,deaths,7,2021-10,0.396000,521
Angola,AGO,Africa,32866268,deaths,6,2021-11,0.396000,527
Angola,AGO,Africa,32866268,deaths,6,2021-12,0.365000,533
Angola,AGO,Africa,32866268,deaths,9,2021-13,0.456000,542
Angola,AGO,Africa,32866268,deaths,8,2021-14,0.517000,550
Angola,AGO,Africa,32866268,deaths,11,2021-15,0.578000,561
Australia,AUS,Oceania,25499881,cases,0,2020-01,0.000000,0
Australia,AUS,Oceania,25499881,cases,0,2020-02,0.000000,0
Australia,AUS,Oceania,25499881,cases,0,2020-03,0.000000,0
Australia,AUS,Oceania,25499881,cases,4,2020-04,0.016000,4
Australia,AUS,Oceania,25499881,cases,7,2020-05,0.043000,11
Australia,AUS,Oceania,25499881,cases,3,2020-06,0.039000,14
Australia,AUS,Oceania,25499881,cases,1,2020-07,0.016000,15
Australia,AUS,Oceania,25499881,cases,7,2020-08,0.031000,22
Australia,AUS,Oceania,25499881,cases,7,2020-09,0.055000,29
Australia,AUS,Oceania,25499881,cases,51,2020-10,0.227000,80
Australia,AUS,Oceania,25499881,cases,218,2020-11,1.055000,298
Australia,AUS,Oceania,25499881,cases,1411,2020-12,6.388000,1709
Australia,AUS,Oceania,25499881,cases,2384,2020-13,14.882000,4093
Australia,AUS,Oceania,25499881,cases,1651,2020-14,15.824000,5744
Australia,AUS,Oceania,25499881,cases,578,2020-15,8.741000,6322
Australia,AUS,Oceania,25499881,cases,290,2020-16,3.404000,6612
Australia,AUS,Oceania,25499881,cases,101,2020-17,1.533000,6713
